"","MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1","MCL1-DH_BC2CTUACXX_CAGATC_L002_R1","MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1","MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1","MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1","MCL1-DL_BC2CTUACXX_ATCACG_L002_R1","MCL1-LA_BC2CTUACXX_GATCAG_L001_R1","MCL1-LB_BC2CTUACXX_TGACCA_L001_R1","MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1","MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1","MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1","MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1"
"68187",9.52771891166282,9.48239425818859,9.0694937180112,9.02827241261416,9.74712405371857,9.88045373645452,8.77473039414658,8.76052854011031,9.00705257759504,9.13158271512902,9.11765941148687,9.26206145227287
"12839",7.64888885021643,9.2736138910677,10.5625094246974,10.4180083396279,7.72186948598895,7.6243257648325,9.35495420940566,10.2152510686131,11.5684075441402,12.0138151164407,13.0644580952088,13.2483701240274
"12823",3.87001814559958,3.82429276231032,3.45004754270035,3.77636653421104,2.51756139244616,2.51756139244616,3.0470161811864,3.39873080477248,3.10705498254269,3.58250540796312,4.0429908622601,3.30234070334364
"68421",9.91039343223993,9.96125169134981,10.0167076490301,10.4012644729876,10.5829744104782,10.6123205127726,9.92519175544544,10.0350962357616,10.1235700047913,10.5028414502976,10.0247589788748,9.81741876507691
"665903",7.18732289066386,7.4345404349326,7.2281059231747,7.1793905643421,7.06540991756253,6.79245516873443,7.46438599795322,7.42717864052705,7.73426413915739,7.27493365658132,7.10421712428532,7.29567492489876
"213109",11.0865188618596,11.0428184625249,10.6271936656745,10.6682092392327,11.1512231518379,11.1461514462188,10.999827820348,10.9828956513986,10.798144089715,10.8696156634374,10.4707628234341,10.4083297941769
"19243",10.9209324368759,11.1028662338418,10.7470767359774,10.6323648392041,10.7772580872605,10.4939277163428,10.6241108857687,10.5216710882068,10.2768567923489,10.3023669563408,10.2368735410013,10.0383999239407
"624262",3.87001814559958,3.28884030886342,3.45004754270035,3.32847869757394,3.36406419221135,3.12428935733666,3.67668412973027,3.64407383743763,3.80204992167466,3.14158569901462,3.30644028790486,3.30234070334364
"19076",8.40906914669286,8.39439512419838,8.18587150810953,8.05907882006212,7.57599525779829,7.58622056524695,8.74880481720478,8.55327701226365,8.53154913565153,8.0842324603399,8.4660731914115,8.22695198019296
"67503",4.03671342305386,4.09368605446253,3.58839356458993,4.32410268908173,3.69868110024361,3.8377222314562,3.26223799434538,3.39873080477248,4.20119195904422,3.58250540796312,3.30644028790486,3.61452447214535
"19335",8.01091799762189,7.89725584183908,7.73848681956509,7.89420336060864,8.48481875845657,8.55148570008148,7.33780307630091,7.38337494357846,5.84329389811378,5.92997774907166,6.43541455794033,6.50737745236278
"213539",9.30600356995687,9.82793639439764,10.8622432532917,10.8070376155442,10.350569194936,10.0717060224391,8.74093538429425,8.76540756495289,9.4465520371399,9.37563392092136,8.64755070044392,8.6943768344945
"98403",8.7521150827367,8.71814935568414,9.02674221829983,9.02313091505319,8.69011302769418,8.91932340495548,8.62600158197775,8.7408456854081,8.45388804941919,8.37655260641707,7.94554045129083,8.24358558094665
"433287",7.51492427610791,7.57443609865008,7.36462101366721,7.32036674986353,7.09787674467298,7.02703334166002,7.26642143169358,7.35773241509732,7.38655491408814,7.0795412360822,7.02851331778595,7.41805691265088
